,Date,Price
270,SBS,034120
271,우리종금,010050
272,DL건설,001880
273,SPC삼립,005610
274,현대일렉트릭,267260
275,TIGER KRX2차전지K-뉴딜,364980
276,애경산업,018250
277,동아쏘시오홀딩스,000640
278,삼성제약,001360
279,락앤락,115390
280,KINDEX 200,105190
281,코스모신소재,005070
282,대덕전자,353200
283,TIGER 미국나스닥100,133690
284,한일현대시멘트,006390
285,일양약품,007570
286,동아에스티,170900
287,미래에셋생명,085620
288,NICE,034310
289,한진중공업,097230
290,드림텍,192650
291,영원무역홀딩스,009970
292,SK렌터카,068400
293,SK디앤디,210980
294,유니드,014830
295,부산가스,015350
296,삼양식품,003230
297,미래에셋증권2우B,00680K
298,BGF,027410
299,삼양사,145990
300,SGC에너지,005090
301,우리금융캐피탈,033660
302,효성중공업,298040
303,잇츠한불,226320
304,덴티움,145720
305,KBSTAR 국고채3년선물인버스,282000
306,서흥,008490
307,삼성SDI우,006405
308,제일약품,271980
309,디피씨,026890
310,서울가스,017390
311,한국자산신탁,123890
312,롯데정보통신,286940
313,이연제약,102460
314,롯데손해보험,000400
315,JW중외제약,001060
316,삼화콘덴서,001820
317,빙그레,005180
318,LF,093050
319,한국토지신탁,034830
320,한진,002320
321,KODEX Top5PlusTR,315930
322,코오롱글로벌,003070
323,한국콜마홀딩스,024720
324,일진다이아,081000
325,HANARO 200,293180
326,고려제강,002240
327,신영증권,001720
328,케이씨텍,281820
329,교보증권,030610
330,신성이엔지,011930
331,KODEX 미국FANG플러스(H),314250
332,해성디에스,195870
333,대성홀딩스,016710
334,율촌화학,008730
335,한화손해보험,000370
336,종근당홀딩스,001630
337,KOSEF 200,069660
338,아세아시멘트,183190
339,QV 코스피 변동성 매칭형 양매도 ETN,550057
340,한국카본,017960
341,한국금융지주우,071055
342,롯데푸드,002270
343,삼성화재우,000815
344,현대퓨처넷,126560
345,웅진씽크빅,095720
346,태영건설,009410
347,KODEX 자동차,091180
348,대한제강,084010
349,아세아제지,002310
350,지역난방공사,071320
351,남양유업,003920
352,교촌에프앤비,339770
353,키다리스튜디오,020120
354,송원산업,004430
355,KOSEF 200TR,294400
356,TIGER KRX BBIG K-뉴딜,364960
357,퍼시스,016800
358,KODEX 코스닥 150,229200
359,에이프로젠제약,003060
360,남해화학,025860
